params.C,params.gamma,val.PICP,val.MPIW,test.PICP,test.MPIW
64,3.0517578125e-05,0.960526,43.021409,0.954248,43.023023
64,6.103515625e-05,0.960526,42.972766,0.954248,42.975993
64,0.0001220703125,0.967105,42.866858,0.954248,42.872322
64,0.000244140625,0.967105,42.73861,0.954248,42.746561
64,0.00048828125,0.967105,42.53996,0.954248,42.554501
64,0.0009765625,0.967105,42.139064,0.954248,42.149395
64,0.001953125,0.960526,41.429775,0.947712,41.434637
64,0.00390625,0.960526,40.518575,0.947712,40.466184
64,0.0078125,0.967105,40.264189,0.960784,40.15058
64,0.015625,0.953947,39.380625,0.954248,39.218042
64,0.03125,0.940789,38.685365,0.960784,38.471653
64,0.0625,0.934211,37.888797,0.954248,37.557424
64,0.125,0.927632,36.34953,0.921569,35.94864
64,0.25,0.927632,35.400923,0.915033,34.88397
64,0.5,0.934211,33.660751,0.908497,33.056764
64,1.0,0.921053,31.87184,0.895425,31.243291
64,2.0,0.901316,28.903028,0.875817,28.324274
64,4.0,0.875,26.304916,0.823529,25.798397
64,8.0,0.815789,23.678554,0.823529,23.259431
64,16.0,0.703947,20.796218,0.69281,20.595406
64,32.0,0.644737,17.982833,0.633987,17.979121
64,64.0,0.473684,16.087712,0.509804,15.792377
64,128.0,0.355263,13.568966,0.300654,13.279142
64,256.0,0.243421,10.420652,0.169935,10.04332
64,512.0,0.098684,6.765921,0.104575,6.474926
64,1024.0,0.052632,3.813253,0.058824,3.684793
64,2048.0,0.0,1.761289,0.026144,1.905579
64,4096.0,0.0,0.642015,0.006536,0.889361
64,8192.0,0.0,0.183216,0.0,0.395277
64,16384.0,0.0,0.041468,0.0,0.143567
64,32768.0,0.0,0.005701,0.0,0.0336
